region,dish,emoji,ingredient_1,ingredient_2,ingredient_3,ingredient_4,ingredient_5,ingredient_6,ingredient_7,ingredient_8
Italian,Cannoli,🧁,pastry_shells,ricotta,powdered_sugar,chocolate_chips,pistachios,orange_zest,vanilla,cream
Italian,Caponata,🍆,eggplant,tomato,celery,olives,capers,vinegar,sugar,onion
Italian,Supplì,🍙,risotto_rice,mozzarella,tomato_sauce,ground_beef,egg,breadcrumbs,parmesan,oil
Italian,Amatriciana,🍝,bucatini,guanciale,tomato,pecorino,onion,white_wine,chili_flakes,black_pepper
Italian,Panzanella,🥗,stale_bread,ripe_tomato,cucumber,red_onion,basil,olive_oil,red_wine_vinegar,capers
Italian,Ribollita_Toscana,🥣,cannellini_beans,cavolo_nero,stale_bread,carrot,celery,onion,garlic,olive_oil
Italian,Zabaglione,🍮,egg_yolks,sugar,marsala_wine,cream,vanilla,berries,lemon_zest,butter
Mexican,Tacos_al_Pastor,🌮,pork_shoulder,pineapple,achiote,corn_tortilla,onion,cilantro,lime,salsa_verde
Mexican,Guacamole,🥑,avocado,lime,cilantro,white_onion,jalapeño,tomato,garlic,salt
Mexican,Enchiladas,🌯,corn_tortilla,chicken,red_enchilada_sauce,oaxaca_cheese,onion,sour_cream,cilantro,garlic
Mexican,Chiles_Rellenos,🌶️,poblano_pepper,oaxaca_cheese,egg,flour,tomato_sauce,onion,garlic,cream
Mexican,Pozole_Rojo,🍲,pork,hominy,dried_guajillo,onion,garlic,oregano,cabbage,radish
Mexican,Tamales,🫔,masa_harina,pork,red_chile_sauce,lard,corn_husks,onion,garlic,cumin
Mexican,Quesadillas,🧀,flour_tortilla,oaxaca_cheese,chicken,jalapeño,onion,salsa,sour_cream,cilantro
Mexican,Mole_Negro,🍫,turkey,dried_chiles,dark_chocolate,tomato,onion,garlic,spices,sesame
Mexican,Ceviche,🐟,white_fish,lime_juice,red_onion,tomato,cilantro,serrano,avocado,salt
Mexican,Churros,🍩,flour,water,sugar,cinnamon,oil,vanilla,chocolate_sauce,butter
Mexican,Sopa_de_Lima,🍋,chicken,lime,tortilla_strips,tomato,onion,garlic,cilantro,habanero
Mexican,Huevos_Rancheros,🍳,eggs,corn_tortilla,ranchero_sauce,black_beans,queso_fresco,cilantro,avocado,onion
Mexican,Carnitas,🐷,pork_shoulder,orange_juice,lard,garlic,cumin,bay_leaf,onion,oregano
Mexican,Elote,🌽,corn,mayo,cotija_cheese,chili_powder,lime,butter,garlic,cilantro
Mexican,Birria,🍖,beef,dried_chiles,onion,garlic,tomato,cumin,cinnamon,tortilla
Mexican,Flautas,🌯,corn_tortilla,shredded_chicken,oil,sour_cream,salsa,lettuce,cotija,avocado
Mexican,Cochinita_Pibil,🐷,pork,achiote_paste,orange_juice,lime,garlic,cumin,habanero,banana_leaf
Mexican,Sopes,🫓,masa,refried_beans,chorizo,lettuce,tomato,queso_fresco,sour_cream,salsa
Mexican,Menudo,🍲,beef_tripe,hominy,dried_chiles,onion,garlic,oregano,lime,cilantro
Mexican,Tostadas,🫓,tostada_shell,refried_beans,shredded_chicken,lettuce,tomato,sour_cream,avocado,cotija
Mexican,Agua_Fresca,🍉,watermelon,lime,sugar,water,mint,cucumber,chili_powder,salt
Mexican,Arroz_con_Leche,🍚,rice,whole_milk,sugar,cinnamon,vanilla,lime_zest,raisins,butter
Mexican,Chiles_en_Nogada,🇲🇽,poblano_pepper,ground_pork,fruit_filling,walnut_cream,pomegranate,parsley,onion,garlic
Mexican,Tlayuda,🫓,corn_tortilla,black_beans,tasajo,oaxaca_cheese,avocado,cabbage,salsa,lard
Mexican,Pepián_Verde,🟢,chicken,pumpkin_seeds,tomatillo,onion,garlic,jalapeño,cilantro,epazote
French,Croissant,🥐,all_purpose_flour,butter,yeast,whole_milk,sugar,salt,egg,water
French,Coq_au_Vin,🍗,chicken,red_burgundy,button_mushrooms,lardons,pearl_onions,garlic,thyme,butter
French,Boeuf_Bourguignon,🥩,beef_chuck,pinot_noir,cremini_mushrooms,lardons,pearl_onions,carrot,garlic,thyme
French,Ratatouille,🍆,eggplant,zucchini,tomato,red_bell_pepper,onion,garlic,olive_oil,herbes_de_provence
French,Crème_Brûlée,🍮,heavy_cream,egg_yolks,sugar,vanilla_bean,milk,butter,caramel,salt
French,Quiche_Lorraine,🥧,eggs,heavy_cream,lardons,gruyere,shortcrust_pastry,onion,nutmeg,butter
French,French_Onion_Soup,🧅,yellow_onion,beef_broth,gruyere,baguette,butter,dry_white_wine,thyme,bay_leaf
French,Bouillabaisse,🐟,mixed_fish,mussels,tomato,saffron,onion,garlic,fennel,rouille
French,Duck_Confit,🦆,duck_legs,duck_fat,garlic,thyme,bay_leaf,salt,black_pepper,rosemary
French,Tarte_Tatin,🍎,golden_apples,butter,sugar,puff_pastry,caramel,vanilla,cream,lemon
French,Soupe_à_l'Oignon,🧅,white_onion,beef_stock,emmental,baguette,butter,cognac,thyme,bay_leaf
French,Blanquette_de_Veau,🥩,veal,button_mushrooms,pearl_onions,cream,egg_yolk,lemon,carrots,bouquet_garni
French,Salade_Niçoise,🥗,tuna,green_beans,potato,cherry_tomato,black_olives,egg,anchovy,dijon_vinaigrette
French,Pot-au-Feu,🍲,beef_brisket,bone_marrow,carrot,leek,turnip,onion,celery,bouquet_garni
French,Sole_Meunière,🐟,sole_fillet,butter,lemon,parsley,flour,salt,black_pepper,capers
French,Gratin_Dauphinois,🥔,potato,heavy_cream,garlic,gruyere,butter,nutmeg,salt,thyme
French,Crêpes_Suzette,🥞,crêpe_batter,orange_juice,orange_zest,butter,sugar,grand_marnier,vanilla,egg
French,Cassoulet,🍲,white_beans,duck_confit,pork_sausage,pork_belly,tomato,onion,garlic,breadcrumbs
French,Steak_Tartare,🥩,beef_tenderloin,egg_yolk,capers,cornichon,dijon_mustard,shallot,parsley,worcestershire
French,Île_Flottante,🍮,egg_whites,sugar,crème_anglaise,vanilla,caramel,almond,salt,milk
French,Vichyssoise,🥣,leek,potato,onion,heavy_cream,chicken_broth,butter,chives,salt
French,Mousse_au_Chocolat,🍫,dark_chocolate,egg,sugar,butter,vanilla,cream,salt,espresso
French,Confit_Byaldi,🍆,zucchini,tomato,yellow_squash,red_pepper,onion,garlic,thyme,olive_oil
French,Tarte_aux_Fraises,🍓,pastry_shell,pastry_cream,strawberry,apricot_glaze,vanilla,butter,sugar,flour
French,Gougères,🧀,choux_pastry,gruyere,butter,flour,egg,milk,nutmeg,salt
German,Sauerbraten,🥩,beef_roast,red_wine_vinegar,onion,carrot,celery,bay_leaf,cloves,gingersnap
German,Schnitzel,🥩,pork_loin,breadcrumbs,egg,flour,lemon,clarified_butter,parsley,capers
German,Bratwurst,🌭,pork_sausage,beer,onion,mustard,sauerkraut,bread_roll,caraway,black_pepper
German,Pretzels,🥨,bread_flour,yeast,baking_soda,butter,coarse_salt,water,sugar,sesame
German,Käsespätzle,🧀,spätzle,emmental,caramelized_onion,butter,cream,chives,salt,pepper
German,Sauerkraut,🥬,cabbage,salt,caraway,onion,apple,juniper_berry,white_wine,bay_leaf
German,Rouladen,🥩,beef,bacon,mustard,onion,pickle,red_wine,broth,tomato_paste
German,Kartoffelsalat,🥔,potato,bacon,onion,vinegar,mustard,broth,parsley,sugar
German,Schwarzwälder_Kirschtorte,🍰,chocolate_sponge,whipped_cream,cherry,kirschwasser,chocolate_shavings,sugar,butter,egg
German,Lebkuchen,🍪,honey,flour,spices,egg,baking_soda,almonds,candied_peel,sugar_glaze
German,Maultaschen,🥟,pasta_dough,pork,spinach,onion,egg,breadcrumbs,marjoram,broth
German,Flammkuchen,🍕,thin_dough,crème_fraîche,lardons,onion,emmental,salt,pepper,nutmeg
German,Zwiebelkuchen,🧅,shortcrust_pastry,onion,bacon,sour_cream,egg,caraway,salt,pepper
German,Reibekuchen,🥔,potato,onion,egg,flour,salt,apple_sauce,sour_cream,oil
German,Grünkohl,🥬,kale,smoked_pork,pinkel_sausage,onion,lard,mustard,oatmeal,salt
German,Eisbein,🍖,pork_knuckle,sauerkraut,potato,caraway,onion,bay_leaf,mustard,broth
German,Himmel_und_Erde,🍎,potato,apple,black_pudding,onion,lard,salt,sugar,vinegar
German,Linsensuppe,🥣,lentils,potato,carrot,celery,onion,bacon,vinegar,marjoram
German,Apfelstrudel,🍎,strudel_dough,apple,sugar,cinnamon,raisins,breadcrumbs,butter,vanilla_cream
German,Bienenstich,🍰,yeast_dough,honey_almond_topping,vanilla_cream,butter,sugar,cream,almonds,milk
German,Pfefferpotthast,🥩,beef,onion,capers,lemon_zest,gingerbread,red_wine,broth,pepper
German,Königsberger_Klopse,🧆,ground_veal,anchovy,capers,egg,cream_sauce,lemon,onion,breadcrumbs
German,Labskaus,🥔,corned_beef,potato,beetroot,onion,pickled_herring,egg,pickle,lard
German,Streuselkuchen,🍰,yeast_dough,streusel_topping,butter,sugar,flour,vanilla,cinnamon,cream
German,Rollmops,🐟,pickled_herring,onion,pickle,mustard,vinegar,bay_leaf,peppercorn,carrot
Thai,Pad_Thai,🍜,rice_noodles,shrimp,egg,bean_sprouts,roasted_peanuts,fish_sauce,tamarind_paste,lime
Thai,Green_Curry,🍛,chicken,green_curry_paste,coconut_milk,bamboo_shoots,thai_basil,fish_sauce,lime_leaves,eggplant
Thai,Tom_Yum_Goong,🍲,shrimp,lemongrass,galangal,kaffir_lime_leaves,straw_mushrooms,fish_sauce,lime,bird_eye_chili
Thai,Som_Tum,🥗,green_papaya,cherry_tomato,roasted_peanuts,lime,fish_sauce,dried_shrimp,palm_sugar,bird_eye_chili
Thai,Massaman_Curry,🍛,beef,potato,roasted_peanuts,coconut_milk,massaman_paste,pearl_onion,cinnamon,tamarind
Thai,Khao_Pad,🍳,jasmine_rice,egg,garlic,onion,soy_sauce,fish_sauce,spring_onion,white_pepper
Thai,Larb_Moo,🥬,ground_pork,lime,fish_sauce,fresh_mint,cilantro,bird_eye_chili,toasted_rice_powder,shallot
Thai,Pad_See_Ew,🍝,wide_rice_noodles,chicken,chinese_broccoli,egg,dark_soy_sauce,oyster_sauce,garlic,oil
Thai,Mango_Sticky_Rice,🥭,glutinous_rice,ripe_mango,coconut_milk,palm_sugar,salt,sesame,pandan_leaf,cream
Thai,Tom_Kha_Gai,🥥,chicken,coconut_milk,lemongrass,galangal,oyster_mushroom,fish_sauce,lime,kaffir_lime_leaves
Thai,Pad_Krapow_Moo,🌿,ground_pork,holy_basil,bird_eye_chili,garlic,oyster_sauce,fish_sauce,soy_sauce,egg
Thai,Gaeng_Daeng,🍛,chicken,red_curry_paste,coconut_milk,bamboo_shoots,thai_basil,fish_sauce,palm_sugar,lime_leaves
Thai,Khao_Soi,🍜,egg_noodles,chicken,coconut_milk,khao_soi_paste,shallot,pickled_mustard,lime,crispy_noodles
Thai,Satay,🍢,chicken,peanut_sauce,lemongrass,turmeric,garlic,coconut_milk,coriander,soy_sauce
Thai,Pad_Woon_Sen,🍜,glass_noodles,shrimp,egg,tomato,celery,onion,soy_sauce,oyster_sauce
Thai,Gai_Yang,🍗,chicken,lemongrass,garlic,coriander_root,fish_sauce,palm_sugar,black_pepper,turmeric
Thai,Yam_Woon_Sen,🍜,glass_noodles,shrimp,pork,lime,fish_sauce,bird_eye_chili,celery,onion
Thai,Gaeng_Keow_Wan,🍛,chicken,green_curry_paste,coconut_milk,pea_eggplant,thai_basil,fish_sauce,palm_sugar,bamboo_shoots
Thai,Hoy_Tod,🦪,oyster,egg,bean_sprouts,rice_flour,tapioca_flour,sriracha,oyster_sauce,oil
Thai,Khanom_Krok,🥥,coconut_milk,rice_flour,sugar,pandan,green_onion,corn,dried_shrimp,salt
Thai,Nam_Tok_Moo,🥩,grilled_pork,lime,fish_sauce,chili_flakes,toasted_rice_powder,mint,shallot,green_onion
Thai,Gaeng_Som,🍲,shrimp,white_turmeric,tamarind,fish_sauce,palm_sugar,vegetables,chili,shrimp_paste
Thai,Khao_Tom,🍚,jasmine_rice,chicken,ginger,garlic,fish_sauce,celery,sesame_oil,white_pepper
Thai,Tod_Mun_Pla,🐟,fish,red_curry_paste,egg,kaffir_lime_leaves,green_bean,sweet_chili_sauce,cucumber,coriander
Thai,Bua_Loy,🟣,glutinous_rice_flour,coconut_milk,pandan,taro,sweet_potato,sugar,salt,sesame
Mediterranean,Moussaka,🍆,eggplant,ground_lamb,bechamel,tomato,cinnamon,onion,garlic,parmesan
Mediterranean,Hummus,🫘,chickpeas,tahini,lemon,garlic,olive_oil,cumin,paprika,salt
Mediterranean,Falafel,🧆,dried_chickpeas,onion,garlic,fresh_parsley,cumin,coriander,flour,sesame
Mediterranean,Tabbouleh,🥗,fine_bulgur,flat_leaf_parsley,tomato,cucumber,lemon,olive_oil,mint,salt
Mediterranean,Paella,🥘,bomba_rice,saffron,chicken,prawn,mussel,tomato,smoked_paprika,olive_oil
Mediterranean,Shawarma,🌯,chicken,garlic_sauce,pita,tomato,pickle,onion,sumac,tahini
Mediterranean,Spanakopita,🥧,spinach,feta,phyllo_dough,egg,onion,olive_oil,dill,nutmeg
Mediterranean,Tzatziki,🥒,greek_yogurt,cucumber,garlic,olive_oil,fresh_dill,lemon,salt,mint
Mediterranean,Baklava,🍯,phyllo_dough,walnuts,pistachios,honey,butter,sugar,lemon,cinnamon
Mediterranean,Souvlaki,🍢,pork,lemon,olive_oil,garlic,dried_oregano,pita,tzatziki,tomato
Mediterranean,Kibbeh,🧆,ground_lamb,bulgur,onion,pine_nuts,cinnamon,allspice,olive_oil,mint
Mediterranean,Shakshuka,🍳,eggs,tomato,red_bell_pepper,onion,garlic,cumin,paprika,feta
Mediterranean,Baba_Ganoush,🍆,eggplant,tahini,lemon,garlic,olive_oil,cumin,flat_leaf_parsley,pomegranate
Mediterranean,Fattoush,🥗,romaine,tomato,cucumber,radish,pita_chips,sumac,lemon,olive_oil
Mediterranean,Borek,🥧,phyllo_dough,feta,spinach,egg,butter,sesame,nigella_seeds,onion
Mediterranean,Dolmades,🍃,grape_leaves,rice,ground_lamb,onion,lemon,dill,mint,olive_oil
Mediterranean,Imam_Bayildi,🍆,eggplant,tomato,onion,garlic,olive_oil,flat_leaf_parsley,sugar,lemon
Mediterranean,Kleftiko,🐑,lamb_shoulder,lemon,garlic,dried_oregano,tomato,potato,olive_oil,bay_leaf
Mediterranean,Gazpacho,🍅,ripe_tomato,cucumber,red_bell_pepper,red_onion,garlic,sherry_vinegar,olive_oil,bread
Mediterranean,Labneh,🥛,strained_yogurt,olive_oil,zaatar,garlic,fresh_mint,lemon,salt,cucumber
Mediterranean,Couscous_Royal,🍛,semolina,lamb,merguez,chickpeas,root_vegetables,harissa,ras_el_hanout,butter
Mediterranean,Pastilla,🥧,chicken,almond,egg,phyllo_dough,cinnamon,sugar,onion,saffron
Mediterranean,Fatayer,🫓,bread_dough,spinach,sumac,onion,lemon,olive_oil,pine_nuts,salt
Mediterranean,Grilled_Octopus,🐙,octopus,lemon,olive_oil,garlic,oregano,capers,tomato,parsley
Mediterranean,Loukoumades,🍩,flour,yeast,honey,cinnamon,sesame,walnut,oil,sugar
